I (278401) diana.task: SENSORES raw=0x0001 bits16=0000000000000001 raw D9..D1=000000001 AH=000000001 AL=111111110 cfg=AH count=1
I (278421) diana.task: SENSORES raw=0x0000 bits16=0000000000000000 raw D9..D1=000000000 AH=000000000 AL=111111111 cfg=AH count=0
I (282170) diana.task: SENSORES raw=0x0002 bits16=0000000000000010 raw D9..D1=000000010 AH=000000010 AL=111111101 cfg=AH count=1
I (282180) diana.task: SENSORES raw=0x0006 bits16=0000000000000110 raw D9..D1=000000110 AH=000000110 AL=111111001 cfg=AH count=2
I (282199) diana.task: SENSORES raw=0x0004 bits16=0000000000000100 raw D9..D1=000000100 AH=000000100 AL=111111011 cfg=AH count=1
I (282206) diana.task: SENSORES raw=0x0000 bits16=0000000000000000 raw D9..D1=000000000 AH=000000000 AL=111111111 cfg=AH count=0
I (286323) diana.task: SENSORES raw=0x0004 bits16=0000000000000100 raw D9..D1=000000100 AH=000000100 AL=111111011 cfg=AH count=1
I (286353) diana.task: SENSORES raw=0x0000 bits16=0000000000000000 raw D9..D1=000000000 AH=000000000 AL=111111111 cfg=AH count=0
I (287550) diana.task: SENSORES raw=0x0004 bits16=0000000000000100 raw D9..D1=000000100 AH=000000100 AL=111111011 cfg=AH count=1
I (287564) diana.task: SENSORES raw=0x0000 bits16=0000000000000000 raw D9..D1=000000000 AH=000000000 AL=111111111 cfg=AH count=0

