ref,component,chip_or_model,commercial_module,quantity,supply_voltage,logic_voltage,interface,prototype_status,validation_status,supplier,item_id,notes
U1,ESP32-S3 devboard,ESP32-S3,yes,1,USB/3.3V board rails,3.3V,GPIO/SPI/RMT/USB,mounted,flashes and boots on COM6; exact devboard pending,UNKNOWN,UNKNOWN,MAC observed 10:20:ba:4b:b7:04
U2,W5500 Ethernet module,W5500,yes,1,3.3V chip; physical module exposes 5V and 3V3 pins per local docs,3.3V SPI,SPI + RJ45,mounted,not validated; VERSIONR reads 0x00,UNKNOWN,UNKNOWN,Exact commercial variant and safe power input pending; do not power 5V and 3V3 simultaneously unless exact module confirms it
U3-U4,parallel-in serial-out modules,SN74HC165 / 74HC165,yes,2,3.3V,3.3V,DATA/LOAD/CLK,mounted,partial; D1-D3 validated and devices running cool,UNKNOWN,UNKNOWN,ROOT CAUSE CONFIRMED by operator 2026-08-24: the first HC165 overheated because the sensor DO drives 5V into logic powered at 3.3V. Without a divider the current through the input protection diode is limited only by the diode itself. Resolved with per-channel resistive dividers; replacement devices stay cool with D1-D3. Still to confirm with all nine channels connected and switching
S1-S9,piezo impact sensor modules,unknown comparator module,yes,9 target; 3 connected,5V observed for D1-D3,DO adapted to 3.3V,DO only,D1-D3 connected; D4-D9 pending,partial; D1=0x0001 D2=0x0002 D3=0x0004,UNKNOWN,UNKNOWN,AO unused; DO rest 0V and impact up to 5V measured for tested sensors
R-D1..R-D3,resistive dividers,10k + 18k E12,no,3 installed; 6 more needed for D4-D9,sensor DO 0-5V,3.3V to HC165,voltage divider,mounted on D1-D3,values confirmed by operator 2026-08-24,UNKNOWN,UNKNOWN,Series 10k to sensor DO and 18k to GND. Nominal 3.214V from 5V rail: 86mV BELOW VCC=3.3V so the input protection diode never approaches conduction. Worst case with 5% parts and 5.25V rail: 3.494V (absolute max 3.80V) and 2.943V (VIH min 2.31V). A 10k/20k pair was planned for the final build but sits 33mV ABOVE VCC and leaves only 190mV of headroom: 10k/18k is recommended for the final build too. Each DO channel needs its own divider: ~180uA per channel and ~1.6mA for nine. Thevenin impedance ~6.4k limits clamp current to ~390uA if the HC165 is unpowered while DO is at 5V
L1-L9,WS2812B LED rings,WS2812B,yes,9,5V,5V data recommended,one-wire LED data,mounted,9 rings connected; RGB/slot test executed,UNKNOWN,UNKNOWN,24 LEDs per ring; 216 LEDs total
SW1,2-position selector,SPDT,yes,1,none,3.3V pull-up contact,GPIO15/GPIO16,mounted,current monitor invalid 1/1,UNKNOWN,UNKNOWN,AUTO not available with current selector
SW2,IDENTIFY pushbutton,momentary NO,yes,1,none,3.3V pull-up contact,GPIO17,mounted,pressed LOW pending capture,UNKNOWN,UNKNOWN,HIGH free LOW pressed
U5,LED level shifter,74AHCT125 / 74AHCT125N,chip/module pending,1,5V output side,3.3V input / 5V output,GPIO4-6 to LED data,selected not installed,pending,UNKNOWN,UNKNOWN,Use AHCT/HCT family; firmware works without assuming installed
PSU,external power supplies,unknown,yes,as mounted,5V/3.3V rails as required,mixed,power,mounted in bench,measurements pending,UNKNOWN,UNKNOWN,Separate power from logic level; document exact supplies before freezing
