referencia,hoja,valor,encapsulado,funcion,critico
J1,08,"Bornero bloqueable 2 vias 5.08 mm >=8 A",THT,Entrada 12 V DC,si
SW1,01,"Interruptor bipolar 250 V / 6 A",Panel,Corte general,no
F1,01,"Fusible T 3.15 A 250 V + portafusibles",THT 5x20,Proteccion de sobrecorriente,si
NTC1,01,"NTC 10 ohm / 2 A inrush limiter",THT,Limitacion de inrush,no
Q1,01,"MOSFET canal P Vds>=30V Rds(on)<=30 mohm",SOT-23,Proteccion de polaridad inversa,si
R1,01,100k 1%,0603,Pull-down de puerta de Q1,no
D2,01,"Zener 12 V 500 mW",SOD-123,Proteccion Vgs de Q1,no
D1,01,"TVS SMBJ15A 600 W unidireccional",SMB,Proteccion de sobretension,si
L1,01,"10 uH / 3 A",1210,Filtro de entrada,no
C1,01,"470 uF / 25 V electrolitico",THT D10,Bulk de entrada,no
C2,01,"10 uF / 25 V X7R",1210,Filtro de entrada,no
C3,01,100n,0603,Filtro HF,no
U1,01,"Buck sincrono 12V->5V >=6 A eff>=0.93",segun fabricante,Convertidor principal,si
L2,01,"Inductancia de U1 Isat>=9 A",segun fabricante,Lazo de U1,si
C4,01,"1000 uF / 10 V low-ESR <=30 mohm",THT D10,Bulk del bus LED,si
C5,01,"1000 uF / 10 V low-ESR <=30 mohm",THT D10,Bulk del bus LED,si
C6,01,"22 uF / 10 V X7R",1210,Salida de U1 HF,no
C7,01,100n,0603,Salida de U1 HF,no
U2,01,"Buck sincrono 5V->3.3V 1 A fsw>=1 MHz",segun fabricante,Riel de logica,si
C8,01,"10 uF / 10 V X7R",0805,Entrada de U2,no
C9,01,"22 uF / 10 V X7R",0805,Salida de U2,no
FB1,01,"Ferrita 600 ohm @100 MHz >=500 mA",0805,Aislamiento de +3V3A,si
C10,01,"10 uF / 10 V X7R",0805,Bulk de +3V3A,no
C11,01,100n,0603,HF de +3V3A,no
R6,01,100k 1%,0603,Divisor de medida de 12 V,no
R7,01,10k 1%,0603,Divisor de medida de 12 V,no
C12,01,100n,0603,Filtro del divisor de 12 V,no
R8,01,22k 1%,0603,Divisor de medida de 5 V,no
R9,01,10k 1%,0603,Divisor de medida de 5 V,no
C13,01,100n,0603,Filtro del divisor de 5 V,no
D3,01,"LED verde 3 mm",THT,Indicador POWER,no
R10,01,1k5,0603,Limitadora de D3,no
U10,02,ESP32-S3-WROOM-1-N16R8,Modulo SMD,Controlador,si
U11,02,W5500,LQFP-48,Ethernet,si
Y1,02,"Cristal 25.000 MHz +-30 ppm CL 12 pF",3225,Reloj del W5500,si
C20,02,22p NP0,0603,Carga de Y1,no
C21,02,22p NP0,0603,Carga de Y1,no
R20,02,10k,0603,Pull-up de W5500_RSTn,no
R21,02,10k,0603,Pull-up de W5500_INTn,no
C22,02,100n,0603,RC de reset del W5500,no
R22,02,22R,0603,Serie en SCLK,no
R23,02,22R,0603,Serie en MOSI,no
R24,02,22R,0603,Serie en nCS_W5500,no
R25,02,49R9 1%,0603,Terminacion TXP,si
R26,02,49R9 1%,0603,Terminacion TXN,si
R27,02,49R9 1%,0603,Terminacion RXP,si
R28,02,49R9 1%,0603,Terminacion RXN,si
C23,02,"10 nF / 2 kV X7R",1206,Terminacion Bob Smith,si
D20,02,"Array TVS 4 canales Ethernet C<=3 pF",SOT-23-6,ESD del puerto,si
