red,hoja,clase_de_red,conexiones,notas
+12V_IN,01,POWER_12V,J1.1 / SW1.1,Antes del fusible
+12V_SW,01,POWER_12V,SW1.2 / NTC1.1,
+12V_NTC,01,POWER_12V,NTC1.2 / F1.1,
+12V_FUSE,01,POWER_12V,F1.2 / Q1.S,
+12V_F,01,POWER_12V,Q1.D / D1.K / L1.1 / C1.+ / R6.1 / TP1,2.26 A maximos
+12V_FILT,01,POWER_12V,L1.2 / C2.1 / C3.1 / U1.VIN,
Q1_GATE,01,Default,Q1.G / R1.1 / D2.K,R1.2 y D2.A a GND_PWR
+5V_LED,01|06,POWER_LED,U1.VOUT / C4.+ / C5.+ / C6.1 / C7.1 / F60.1 / F61.1 / F62.1 / TP2 / TP60,4.32 A maximos
+5V_LOG,01|06,POWER_LED,U1.VOUT / U2.VIN / C8.1 / U60.14 / C65.1 / C66.1 / R8.1 / TP3,Mismo riel electrico que +5V_LED separado topologicamente
+3V3,01|02|04|05|07,Default,U2.VOUT / C9.1 / FB1.1 / U10.3V3 / Rn7(x9).2 / R40.2 / R70.1 / R71.1 / R72.1 / U40.16 / U41.16 / LM339x3.V+ / TP4,0.45 A maximos
+3V3A,01|03|04|05,Default,FB1.2 / C10.1 / C11.1 / MCP6004x3.V+ / U50.AVDD / Dn1(x9).K_sup / U51.VCC / TP5,Analogico tras ferrita
+3V3_ETH,02,Default,L20.2 / C32.1 / C24-C31.1 / U11.VCC(todos) / TP10,
VSENSE_12V,01|02|05,Default,R6.2 / R7.1 / C12.1 / U10.IO1 / U50.CH9,12.0 V -> 1.091 V
VSENSE_5V,01|05,Default,R8.2 / R9.1 / C13.1 / U50.CH10,5.00 V -> 1.563 V
GND_PWR,01|06|08,POWER_LED,J1.2 / SW1.3 / C1.- / C4.- / C5.- / D1.A / U1.GND / U1.PAD / C62.- / C63.- / C64.- / J10.4 / J11.4 / J12.4 / J13.2 / J14.2 / J15.2 / U60.7 / TP6,Retorno de LED - poligono >= 2.0 mm
GND_LOG,01|02|04|05|07,Default,U2.GND / U10.GND / U11.GND / U11.PAD / U40.8 / U41.8 / C70.2 / C71.2 / C72.2 / J31.6 / TP7,Unido a GND_PWR solo en el pad de U1
